study,kir,cases,controls
1,KIR2DL1,94.6,97.6
1,KIR2DL2,55.7,48.4
1,KIR2DL3,91.9,92.3
1,KIR2DL5,50.3,46.9
1,KIR3DL1,96.0,96.1
1,KIR2DS1,36.2,35.7
1,KIR2DS2,55.7,47.8
1,KIR2DS3,24.8,27.1
1,KIR2DS4,40.9,42.0
1,KIR2DS5,32.9,27.1
1,KIR3DS1,38.9,33.3
2,KIR2DL1,95,98
2,KIR2DL2,81,32
2,KIR2DL3,86,91
2,KIR2DL5,65,55
2,KIR3DL1,92,94
2,KIR2DS1,43,27
2,KIR2DS2,53,25
2,KIR2DS3,35,19
2,KIR2DS4,94,92
2,KIR2DS5,29,22
2,KIR3DS1,40,27
2,KIR2DL4,98,100
2,KIR3DL2,98,100
2,KIR3DL3,98,100
3,KIR2DL1,97.1,100
3,KIR2DL2,35.0,41.6
3,KIR2DL3,94.9,96
3,KIR2DL5,46.0,55.4
3,KIR3DL1,92.7,93.1
3,KIR3DS1,40.1,49.5
3,KIR2DS1,43.1,48.5
3,KIR2DS2,38.7,41.6
3,KIR2DS3,18.2,23.8
3,KIR2DS4,92.7,94.1
4,KIR2DL1,97,98
4,KIR2DL2,52,62
4,KIR2DL3,93,95
4,KIR2DL5,49,66
4,KIR3DL1,89,90
4,KIR2DS1,48,54
4,KIR2DS2,52,63
4,KIR2DS3,24,25
4,KIR2DS4,80,85
4,KIR2DS5,35,43
4,KIR3DS1,53,63
4,KIR2DP1,99,99
4,KIR3DP1,99,99
5,KIR2DL1,99.3,100
5,KIR2DL2,46.0,34.8
5,KIR2DL3,98.6,98.5
5,KIR2DL4,97.8,97.7
5,KIR2DL5,42.4,84.1
5,KIR3DL1,96.4,96.2
5,KIR3DL2,97.8,98.5
5,KIR3DL3,96.4,99.2
5,KIR3DS1,36.0,37.1
5,KIR2DS1,33.8,43.9
5,KIR2DS2,20.1,47.0
5,KIR2DS3,10.1,9.8
5,KIR2DS4,96.4,96.2
5,KIR2DS5,22.3,33.3
6,KIR2DL1,98.8,98.5  
6,KIR2DL2,15.4,13.7 
6,KIR2DL3,98.8,99.0
6,KIR2DL4,100 ,100
6,KIR2DL5,40.8,34.8
6,KIR2DS1,40.8,35.8
6,KIR2DS2,15.4,13.7
6,KIR2DS3,9.6,9.8 
6,KIR2DS4,87.1,85.3
6,KIR2DS5,34.6,30.8
6,KIR3DL1,99.6,100
6,KIR3DL2,99.6,99.5
6,KIR3DL3,100,100
6,KIR3DS1,44.1,36.8
7,KIR2DS1,41.1,35.8
7,KIR2DS2,53.5,48.8
7,KIR3DS1,40.4,34.0
8,KIR2DL2,82.65,32
8,KIR2DL5,66.32,55
8,KIR2DS1,43.87,27
8,KIR2DS2,54.08,25
8,KIR2DS3,35.71,19
8,KIR3DS1,40.81,27
11,KIR2DL1,95.6,97.6
11,KIR2DL2,49.2,54.4
11,KIR2DL3,87.9,86.4
11,KIR2DL4,99.2,100.0
11,KIR2DL5,56.0,49.6
11,KIR3DL1,95.2,97.6
11,KIR3DL2,100.0,100.0
11,KIR3DL3,100.0,100.0
11,KIR2DS1,46.4,36.4
11,KIR2DS2,52.8,53.6
11,KIR2DS3,33.9,33.2
11,KIR2DS4,85.2,95.2
11,KIR3DS1,47.6,42.4
11,KIR2DP1,100.0,100.0
11,KIR2DS5,37.1,34.0
12,KIR2DL1,93.82,96.56
12,KIR2DL2,28.19,32.44
12,KIR2DL3,98.46,99.62
12,KIR2DL5,40.15,42.37
12,KIR3DL1,93.05,95.42
12,KIR2DS1,37.84,37.40
12,KIR2DS2,28.96,30.92
12,KIR2DS3,11.58,12.98
12,KIR2DS4,92.66,93.13
12,KIR2DS5,27.03,27.10
12,KIR3DS1,36.29,35.50
13,KIR2DL1,97.9,100
13,KIR2DL2,52.8,53.6
13,KIR2DL3,94.2,90.5
13,KIR2DL5,54.1,56.5
13,KIR3DL1,96.4,95.2
13,KIR3DL3,100,100
13,KIR2DS2,52.8,53.6
13,KIR2DS1,42.9,41.7
13,KIR2DS3,30.5,33.3
13,KIR3DS1,44.9,44
13,KIR2DS4,95.7,94.6
13,KIR2DS5,34.5,34.5
14,KIR3DL1,96.07,95.15
14,KIR3DS1,37.6,38.47
